"","pitch_type","release_speed","release_pos_x","release_pos_y","release_pos_z"
"187","FF",97.6,-2.03,53.78,5.59
"188","ST",84.7,-2.49,53.93,5.4
"189","ST",85.8,-2.43,53.93,5.29
"190","FF",96.5,-1.99,53.62,5.56
"191","FF",97.9,-2.51,53.89,5.37
"192","ST",84.7,-2.49,54.01,5.28
"193","ST",84.7,-2.4,53.87,5.35
"194","FF",95.8,-2.21,53.64,5.47
"195","FF",96.6,-2.3,53.81,5.43
"196","FF",96.1,-2.44,53.82,5.52
"197","FF",96.4,-2.33,53.68,5.39
"198","FF",98.5,-2.03,53.83,5.59
"199","FF",96.3,-2.41,53.64,5.3
"200","FF",95.9,-2.11,53.67,5.54
"201","FF",96.4,-2.19,53.71,5.57
"202","ST",84.8,-2.34,53.91,5.36
"203","FF",98.5,-2.07,53.65,5.49
"204","FF",96.8,-2.33,53.7,5.42
"205","FF",99,-2.56,53.77,5.1
"206","ST",87,-2.41,53.81,5.37
"207","FF",98.7,-2.42,53.83,5.36
"208","FF",97.7,-2.27,53.88,5.43
"209","ST",87.3,-2.39,53.82,5.4
"210","ST",83.5,-2.55,53.92,5.3
"211","ST",84.6,-2.5,53.98,5.38
"212","FF",97.6,-2.24,53.76,5.57
"213","ST",83.2,-2.48,53.98,5.36
"214","FF",97.5,-2.06,53.77,5.57
"215","FF",95.8,-2.19,53.72,5.52
"216","FF",95.8,-2.22,53.65,5.52
"217","FF",97.9,-2.35,53.77,5.33
"218","FF",96.3,-2.09,53.76,5.55
"219","FF",96.8,-2.2,53.77,5.45
"220","FF",95.9,-2.3,53.54,5.44
"221","FF",95.2,-2.1,53.68,5.56
"222","ST",82.3,-2.32,53.91,5.38
"223","FF",96.7,-2.11,53.85,5.6
"224","FF",95.5,-2.06,53.83,5.57
"225","FF",96.8,-2.36,53.92,5.46
"226","FF",97.3,-2.2,53.72,5.48
"227","FF",96.3,-2.1,53.8,5.52
"228","FF",96.7,-2.17,53.75,5.53
"229","FF",94.6,-2.23,53.68,5.57
"230","ST",84.1,-2.19,53.68,5.54
"231","FF",97.1,-1.94,53.45,5.63
"232","ST",83.3,-2.3,53.6,5.57
"233","ST",86.3,-2.58,53.73,5.46
"234","FF",96.2,-2.34,53.29,5.42
"235","ST",83.9,-2.46,53.48,5.41
"236","FF",97.7,-2.13,53.54,5.56
"237","ST",87.7,-2.55,53.59,5.38
"238","ST",84.7,-2.47,53.62,5.53
"239","ST",84.7,-2.26,53.6,5.54
"240","FF",96.7,-2.06,53.53,5.65
"241","ST",85,-2.31,53.63,5.5
"242","ST",84.4,-2.49,53.63,5.48
"243","FF",97.9,-2.49,53.69,5.32
"244","ST",85.6,-2.43,53.6,5.36
"245","ST",84.4,-2.46,53.69,5.48
"246","ST",85.6,-2.57,53.76,5.38
"247","ST",86,-2.42,53.5,5.51
"248","FF",99.4,-2.26,53.52,5.48
"249","ST",85.5,-2.54,53.44,5.4
"250","FF",100,-2.29,53.35,5.48
"251","FF",99,-2.4,53.61,5.54
"252","FF",98.9,-2.09,53.51,5.66
"253","ST",85.3,-2.43,53.65,5.47
"254","FF",96.1,-2.13,53.58,5.66
"255","ST",84.6,-2.41,53.77,5.43
"256","FF",97,-2.24,53.57,5.42
"257","FF",95.7,-2.14,53.6,5.61
"258","FF",95.9,-1.99,53.43,5.71
"259","ST",83.3,-2.29,53.75,5.56
"260","ST",84,-2.34,53.74,5.48
"261","FF",97.9,-2.35,53.61,5.53
"262","ST",83,-2.28,53.65,5.63
"263","FF",95.7,-2.33,53.65,5.54
